date,kWh,building
2022-12-05 17:00:00,43.0,GDD Hall Main Electricity Meter
2022-12-05 18:00:00,46.0,GDD Hall Main Electricity Meter
2022-12-05 19:00:00,38.0,GDD Hall Main Electricity Meter
2022-12-05 20:00:00,37.0,GDD Hall Main Electricity Meter
2022-12-05 21:00:00,44.0,GDD Hall Main Electricity Meter
2022-12-05 22:00:00,43.0,GDD Hall Main Electricity Meter
2022-12-05 23:00:00,41.0,GDD Hall Main Electricity Meter
2022-12-05 00:00:00,7.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 01:00:00,9.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 02:00:00,7.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 03:00:00,6.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 04:00:00,7.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 05:00:00,6.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 06:00:00,7.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 07:00:00,7.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 08:00:00,6.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 09:00:00,7.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 10:00:00,11.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 11:00:00,9.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 12:00:00,8.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 13:00:00,8.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 14:00:00,8.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 15:00:00,9.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 16:00:00,7.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 17:00:00,8.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 18:00:00,10.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 19:00:00,11.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 20:00:00,14.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 21:00:00,9.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 22:00:00,10.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 23:00:00,9.0,Grand-Cambridge Apartments Electricity Meter
2022-12-05 00:00:00,17.0,Kirk Hall Main Electricity Meter
2022-12-05 01:00:00,15.0,Kirk Hall Main Electricity Meter
2022-12-05 02:00:00,14.0,Kirk Hall Main Electricity Meter
2022-12-05 03:00:00,13.0,Kirk Hall Main Electricity Meter
2022-12-05 04:00:00,11.0,Kirk Hall Main Electricity Meter
2022-12-05 05:00:00,12.0,Kirk Hall Main Electricity Meter
2022-12-05 06:00:00,11.0,Kirk Hall Main Electricity Meter
2022-12-05 07:00:00,11.0,Kirk Hall Main Electricity Meter
2022-12-05 08:00:00,13.0,Kirk Hall Main Electricity Meter
2022-12-05 09:00:00,12.0,Kirk Hall Main Electricity Meter
2022-12-05 10:00:00,13.0,Kirk Hall Main Electricity Meter
2022-12-05 11:00:00,13.0,Kirk Hall Main Electricity Meter
